		Freq	INTEGRITY	MAX[+back]-IO	DEP-[+back]-IO	DEP[-back]-IO	*[a]	IDENT-[back]-CH	DEP-[+long]	MAX-C-	MAX-V-	RM-PRET	*Haplology	PCR	*SPRHVY
		Freq	INTEGRITY	MAX[+back]-IO	DEP-[+back]-IO	DEP[-back]-IO	*[a]	IDENT-[back]-CH	DEP-[+long]	MAX-C-	MAX-V-	RM-PRET	*Haplology	PCR	*SPRHVY
|hait-PRET-sg|	[hehait] \-> /CV, hait/	1	2			1	1	1							
	[hahait] \-> /CV, hait/		2				2						1		
	[heheit] \-> /CV, hait/		2	1		2							1		
	[hait] \-> /hait/						1					1			
	[hait] \-> /CV, hait/						1			1	1	1			
	[hAjt] \-> /hait/								1						1
	[hehait] \-> /C,e, hait/		1				1	1							
	[hahait] \-> /C,e, hait/		1		1		2						1		
|beid-PRET-sg|	[bebaid] \-> /CV, beid/	1	2		1		1	1							
	[baid] \-> /beid/				1		1								
	[bebeid] \-> /CV, beid/		2										1		
	[beid] \-> /CV, beid/									1	1	1			
	[beid] \-> /beid/											1			
	[bEid] \-> /beid/								1						1
	[bebaid] \-> /C, e, beid/		1		1		1	1							
	[babaid] \-> /C, e, beid/		1		2		2						1		
|beid-PRES|	[beid] \-> /beid/	1													
	[baid] \-> /beid/				1		1								
	[bebeid] \-> /CV, beid/		2										1		
|ber-PRET-pl|	[bEr] \-> /ber/	1							1						
	[bEr] \-> /CV, ber/		2							1	1				
	[bEr] \-> /CV, ber/		2						1	1	1				
	[bebr] \-> /CV, ber/		1								1			1	
	[ber] \-> /ber/											1			
	[bEr] \-> /C, e, ber/		1							1	1				
|beid-PRET-pl|	[bebid] \-> /CV, beid/	1	2								1				
	[bid] \-> /beid/										1				
	[bebeid] \-> /CV, beid/		2										1		
	[beid] \-> /CV, beid/									1	1	1			
	[beid] \-> /beid/ 											1			
	[bebid] \-> /C, e, beid/		1								1				
	[babid] \-> /C, e, beid/		1		1						1				
|hait-PRET-pl|	[hehait] \-> /CV, hait/		2			1	1	1							
	[hahait] \-> /CV, hait/		2				2						1		
	[heheit] \-> /CV, hait/		2	1		2							1		
	[hait] \-> /hait/						1					1			
	[hait] \-> /CV, hait/						1			1	1	1			
	[hehit] \-> /CV, hait/	1	2					1			1				
	[hAjt] \-> /hait/								1						1
	[hehait] \-> /C,e, hait/		1				1	1							
	[hahait] \-> /C,e, hait/		1		1		2						1		
|dab-PRET-sg|	[dedab] \-> /CV, dab/	1	2			1	1	1							
	[dadab] \-> /CV, dab/		2				2						1		
	[dAb] \-> /dab/						1		1						
	[dab] \-> /CV, dab/						1			1	1	1			
	[dab] \-> /dab/						1					1			
	[deb] \-> /CV, dab/			1		1									
	[deb] \-> /dab/			1		1									
	[dedab] \-> /C,e, dab/		1			1	1	1							
	[dadab] \-> /C,e, dab/		1		1	1	2						1		
|dab-PRET-pl|	[dEb] \-> /CV, dab/	1	2			1				1	1				
	[dEb] \-> /dab/			1		1			1						
	[dAb] \-> /dab/						1		1						
	[deb] \-> /dab/			1		1							1		
	[dedb] \-> /CV, dab/		2								1			1	
	[dab] \-> /CV, dab/						1			1	1	1			
	[dEb] \-> /C,e, dab/		1	1		1				1	1				
|ber-PRET-sg|	[bebar] \-> /CV, ber/	1	2		1		1	1							
	[bar] \-> /ber/				1		1								
	[beber] \-> /CV, ber/		2										1		
	[ber] \-> /CV, ber/									1	1	1			
	[ber] \-> /ber/											1			
	[bebar] \-> /C, e, ber/		1		1		1	1							
	[bebar] \-> /C, e, ber/		1		2		2						1		
|dab-PRES|	[dab] \-> /dab/	1					1								
	[deb] \-> /dab/			1		1									
	[dedab] \-> /CV, dab/		2			1		1							
